symbol,start_date,market_prediction,end_value,max_drawdown,trade time,last_entry_time,close_time
,,Uptrend,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,High Volatility,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,High Volatility,,,,,
,,Ranging,,,,,
,,High Volatility,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Downtrend,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,High Volatility,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,High Volatility,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,High Volatility,,,,,
,,Downtrend,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,Downtrend,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,High Volatility,,,,,
,,Downtrend,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,High Volatility,,,,,
,,Downtrend,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Ranging,,,,,
,,Uptrend,,,,,
,,High Volatility,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,High Volatility,,,,,
,,Ranging,,,,,
,,Downtrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
,,Uptrend,,,,,
